gene_name
MLH3
CCDC88C
WDR20
EXOC3L4
KIF26A
JAG2
NUDT14
IGHV5-51
FMN1
RYR3
DISP2
LTK
MGA
JMJD7
TP53BP1
SPG11
EID1
RSL24D1
PYGO1
CGNL1
MYO1E
ITGA11
CYP1A1
SNUPN
IREB2
KIAA1199
ADAMTSL3
AKAP13
ACAN
ACAN
TICRR
TICRR
IGF1R
LINS
LRRK1
ITFG3
CHTF18
CLCN7
ZNF75A
ITPRIPL2
PDZD9
KIF22
TBC1D10B
C16orf78
IRX6
IRX6
OGFOD1
CNGB1
EXOC3L1
ELMO3
FAM65A
CENPT
ZFHX3
ADAT1
C16orf46
PKD1L2
ZCCHC14
ANKRD11
ANKRD11
TLCD2
CLUH
OR1A1
SMTNL2
NLRP1
KIAA0753
DNAH2
MYH13
MYH8
MYH8
DNAH9
ELAC2
HS3ST3B1
SLC47A2
AKAP10
MYO1D
C17orf78
GPR179
RARA
BRCA1
ARHGAP27
MAPT
EME1
LRRC59
TOM1L1
MAP3K3
AXIN2
ABCA5
ABCA5
GRIN2C
CASKIN2
AANAT
RHBDF2
TMC6
RP11-1055B8.7
CCDC57
CSNK1D
ROCK1
ASXL3
RTTN
ZADH2
LPPR3
LPPR3
JSRP1
NCLN
EBI3
HDGFRP2
LONP1
CTB-133G6.1
NDUFA7
MUC16
MUC16
ZNF442
TNPO2
PRDX2
RAD23A
RAD23A
IL27RA
PKN1
OR10H1
MYO9B
PLVAP
KIAA1683
SUGP2
SUGP2
ZNF257
DPY19L3
SLC7A9
SBSN
ARHGAP33
NPHS1
SIRT2
BLVRB
SHKBP1
ITPKC
ZNF225
APOC4
FOXA3
ZC3H4
DHX34
PLA2G4C
PLEKHA4
MYBPC2
EMC10
KLK2
SIGLEC8
ZNF665
CACNG7
TTYH1
LENG9
ZSCAN18
ZNF8
ZNF584
MZF1
TRIB3
FAM110A
SIRPG
TMC2
ESF1
DZANK1
DZANK1
POLR3F
GZF1
PYGB
NINL
DEFB119
BPIFB2
FER1L4
LBP
RALGAPB
IFT52
C20orf62
WFDC10B
ZNF335
CD40
OCSTAMP
EYA2
SALL4
CYP24A1
PCK1
FAM217B
DIDO1
AP000275.65
SLC5A3
TRPM2
MICAL3
TBX1
GGT5
MYO18B
MYO18B
SRRD
KREMEN1
GAL3ST1
PES1
PRR14L
SYN3
MCM5
SH3BP1
XPNPEP3
CELSR1
FANCB
GPR64
ZNF674
WAS
CCNB3
ABCB7
ZCCHC18
ESX1
RBMXL3
TENM1
GPC3
MAGEA10
ZNF185
MAGEA1
HCFC1
PLXNA3
