"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00023",11.8459489639067,12.3124762089106,12.707328320237,11.3410660093375,12.0458011977483,12.7195553469879,12.3210100200791,12.2673019402305,12.738149675809,12.1926121271825,12.442708147688
"FT00024",11.005805955308,10.9665463770006,11.6496818620068,11.5140154994607,11.3838831268433,11.0277806144407,11.7087537062803,11.295436876439,11.5758940997309,11.0498263890235,11.7674589138046
"FT00025",14.9495114895133,14.8027913928836,14.8886914138738,14.3928173653303,14.1100512795285,14.8921339728191,15.5606834027762,14.5842916209078,14.9589511489092,14.8073723915287,14.5574951320069
"FT00026",13.4465077259886,13.5379170109509,12.8822931254941,12.6559629875493,13.0107225258722,14.0347876710523,14.4123213782859,13.612308262587,13.1752739361227,13.2827682881617,13.6549265599996
"FT00028",15.2083340033438,15.1179578761253,14.9379745746411,12.9342116244169,15.0955041197289,12.0183955119042,12.073088107973,12.1739488069058,12.6976677316857,14.8360828303555,15.7565130789348
"FT00029",16.1376622517459,15.8217591560503,16.008779146425,15.6114744456473,15.5093431611997,16.2441626277227,15.6712642441989,16.1734579316718,16.4425356292087,15.9910417488976,15.9946334754956
"FT00030",12.0816746308199,12.4904540953814,12.2408021357297,13.1073040976752,12.9430898631556,12.7159484286652,12.3571726086643,12.4426942179066,13.4580648468266,12.7416698079168,12.48501070857
"FT00031",16.2979375627386,16.3355447997348,16.4748412590278,16.5487799136541,15.7403939001617,16.1083957848158,16.2571074468494,17.9400202044265,16.6173220470307,16.1589992522895,16.1329894340046
"FT00032",12.668254438978,12.3907789395573,12.2881985941602,12.8759989388207,13.1285864742636,12.7262691701137,13.1617788973128,13.0094026600896,12.94514318737,13.0407313988042,11.3053897264969
"FT00034",17.8560192712465,17.7823611836831,17.7218397295188,12.7514049575728,12.4514958441918,17.728827461857,17.9289300727138,17.6730557377476,12.5577719708454,12.0151941833761,17.6510649656156
"FT00035",15.2350236685221,14.9507519445418,15.0138950573072,14.4511910921499,14.7144514684488,15.0780466724209,15.808596331939,14.6689498659209,15.3160752954435,14.3798549057648,14.608713718911
"FT00036",18.1067060521892,18.0931162087077,16.4664472638267,16.5760150486964,15.9214231276977,17.8401543558215,18.792200078851,17.6576987188366,17.6692817810558,17.4395941787154,16.5216274040425
"FT00037",15.2045669954177,15.3397558565225,15.1047912097285,15.5016009007824,16.2443558945635,15.153632809187,15.1409921904657,15.5861518801055,15.2278281314474,15.4403383592094,15.4313026846166
"FT00038",15.3683944314295,15.2193942164103,15.1801249965071,15.1562761615731,14.5831343732225,15.039317004989,15.3867047106524,15.160359588105,14.7103425647203,14.7115572357939,15.0381822576805
"FT00039",14.2223774442858,14.2702409541796,14.1929029907826,14.1960131193094,13.7330623675826,15.7230683896236,14.4417937948131,15.5922751532914,13.6983426551914,13.6421098986615,14.0189114095314
"FT00040",16.5315003018931,16.2179221825372,16.5176864097897,15.8967941165891,16.2308182219994,16.3239728711001,16.4261100490304,16.0938031586659,17.1195191088847,16.2276015867899,16.2449805507029
"FT00041",13.1997552703301,13.7910210783446,13.919488042336,13.9781484116088,13.6359945500858,13.6498774431433,13.7225865278908,14.2337462743054,13.8619841180393,13.8906320834127,13.3815892848196
"FT00042",12.2567426044506,12.0664222002087,13.4851169961223,14.0170394456303,14.7689175365873,13.7509294085584,13.882625556081,14.1076429721601,14.6633818926911,14.47620500015,13.4780166833905
"FT00043",18.9530193619112,18.8148778017198,18.8862072956869,18.8590621564197,11.6098063460895,10.7589071186106,19.0063911032279,18.7057953226135,11.6800609237249,18.2597412012761,18.7169285645575
"FT00044",14.1243548165075,14.1027624822758,13.8413518792469,13.9935546965146,13.1623192622047,14.3684510971916,13.0463599691683,13.8354574984409,13.4320855705895,12.9631629862435,14.1382936649765
"FT00045",12.3168012878139,11.6622391335482,12.6494195854581,11.6438180281314,11.6631404624481,12.6530730309026,10.3105597252721,9.98273924592646,12.8529794715924,11.7803251032849,11.1080346773113
"FT00046",16.5074072348082,16.6872391973206,16.2226008615394,16.241315899115,16.3836448337074,16.7285686499266,16.6961716098374,16.64816185455,17.0068854172807,16.2901710585921,16.4822002162366
"FT00047",16.5332344715883,16.744844006445,16.6270452246176,16.7142828402559,16.5950497556601,16.5311660903452,16.4806316814583,16.8179582091885,16.7346592547775,16.7100586236392,16.4072952715947
"FT00048",21.0252501478906,20.9378256013571,20.849426320934,20.2059420908196,20.7572164487472,21.0687562729255,21.1596415667062,20.7457115762599,21.2688215379017,20.3923947328724,20.7844773170791
