"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"LCAT","LCAT",1,1,0.0230642504118616,1214,2.9267275068443,"HMDB0010401, HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"CLC","CLC",1,1,0.028913260219342,1003,2.9267275068443,"HMDB0012108, HMDB0012108, HMDB0010401, HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G2A","PLA2G2A",1,1,0.0248713550600343,1166,2.9267275068443,"HMDB0002117, HMDB0002117, HMDB0013974, HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLA2G2D","PLA2G2D",1,1,0.0348189415041783,2154,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0010401, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"AKR1C4","AKR1C4",0.0100185258085297,0.444724804183514,0.161290322580645,31,2.78844448603716,"HMDB0000899, HMDB0003769, HMDB0000031, HMDB0000490, HMDB0002961"
"CBR1","CBR1",0.000853043080223943,0.062101536240303,0.125,32,2.51542713686358,"HMDB0011603, HMDB0041809, HMDB0001220, HMDB0001320, HMDB0001220, HMDB0001320"
"DHRS4","DHRS4",1,1,0,5,0,""
"CBR3","CBR3",0.00014078278910774,0.0130283733648857,0.428571428571429,7,2.51542713686358,"HMDB0011603, HMDB0041809, HMDB0001220, HMDB0001220"
"HPGD","HPGD",1.02950887825871e-05,0.00147850399895648,0.4,5,2.51542713686358,"HMDB0001220, HMDB0004240, HMDB0001220, HMDB0004240"
"PTGES","PTGES",1.02950887825871e-05,0.00147850399895648,0.666666666666667,3,2.51542713686358,"HMDB0001220, HMDB0001381, HMDB0001220, HMDB0001381"
"PLD2","PLD2",1,1,0.0374164810690423,2245,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
