"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"TLR4","TLR4",1,1,0,1,0,""
"ATP7A","ATP7A",1,1,0,7,0,""
"JMJD6","JMJD6",1,1,0,124,0,""
"OPRM1","OPRM1",0.0339254373948987,1,0.0357142857142857,28,2.09294523069637,"HMDB0014440, HMDB0014440, HMDB0014440"
"GLI3","GLI3",1,1,0,1,0,""
"ANTXR1","ANTXR1",1,1,0,1,0,""
"MBL2","MBL2",1,1,0,3,0,""
"FADS1","FADS1",1,1,0,3,0,""
"PTRH1","PTRH1",1,1,0,1,0,""
"SLC29A4","SLC29A4",1,1,0,3,0,""
"HTR2A","HTR2A",0.438245543311103,1,0.0344827586206897,58,2.38694775294748,"HMDB0015202, HMDB0005016"
"PLIN1","PLIN1",1,1,0,1,0,""
"SFTPA2","SFTPA2",1,1,0,1,0,""
"VCAM1","VCAM1",1,1,0,2,0,""
"SAG","SAG",1,1,0,1,0,""
"AIFM1","AIFM1",1,1,0,1,0,""
"NPC2","NPC2",0.980708342678006,1,0.00386100386100386,518,2.23218623412545,"HMDB0000277, HMDB0012097"
"CYP2R1","CYP2R1",1,1,0,10,0,""
"S1PR1","S1PR1",1,1,0,2,0,""
"AMACR","AMACR",1,1,0,6,0,""
"SLCO1A2","SLCO1A2",4.03413114799882e-08,2.29318663044223e-05,0.191304347826087,115,2.57049185024861,"HMDB0000545, HMDB0000659, HMDB0000234, HMDB0000348, HMDB0000361, HMDB0000384, HMDB0000411, HMDB0000438, HMDB0000478, HMDB0000514, HMDB0000518, HMDB0000626, HMDB0000664, HMDB0000686, HMDB0000733, HMDB0000811, HMDB0000946, HMDB0002451, HMDB0002488, HMDB0002536, HMDB0002585, HMDB0000359"
"DPEP1","DPEP1",1,1,0,2,0,""
"FSHR","FSHR",1,1,0,1,0,""
"BMP7","BMP7",1,1,0,1,0,""
"SLC6A12","SLC6A12",1,1,0,2,0,""
"AGMAT","AGMAT",1,1,0,10,0,""
"COL13A1","COL13A1",1,1,0,2,0,""
"HTR2C","HTR2C",1,1,0,32,0,""
"HBEGF","HBEGF",1,1,0,1,0,""
"FABP3","FABP3",1,1,0,32,0,""
"HTR6","HTR6",1,1,0,4,0,""
"HRH3","HRH3",1,1,0,3,0,""
"CASR","CASR",1,1,0,2,0,""
"PTPRA","PTPRA",1,1,0,3,0,""
"TSPO","TSPO",1,1,0,13,0,""
"LRP2","LRP2",1,1,0,2,0,""
"GZMB","GZMB",1,1,0,1,0,""
"HRG","HRG",1,1,0,1,0,""
"XYLB","XYLB",1,1,0,4,0,""
"FGF7","FGF7",1,1,0,1,0,""
"CRY1","CRY1",1,1,0,1,0,""
"TERT","TERT",1,1,0,2,0,""
"HBG2","HBG2",1,1,0,2,0,""
"FGF23","FGF23",1,1,0,1,0,""
"MAP2K3","MAP2K3",1,1,0,2,0,""
"MTM1","MTM1",1,1,0,5,0,""
"SLC15A1","SLC15A1",0.628302926155063,1,0.0476190476190476,42,2.86178004047527,"HMDB0014559, HMDB0015428"
"PTGIR","PTGIR",0.00321286960462218,0.162428407789233,0.333333333333333,3,2.51542713686358,"HMDB0001335, HMDB0001335"
"ADM","ADM",1,1,0,1,0,""
"SLC5A3","SLC5A3",1,1,0,1,0,""
"PTGDR","PTGDR",0.00321286960462218,0.162428407789233,0.25,4,2.51542713686358,"HMDB0001403, HMDB0001403"
"TLR9","TLR9",1,1,0,2,0,""
"RAPGEF3","RAPGEF3",1,1,0,4,0,""
"TNFRSF11B","TNFRSF11B",1,1,0,1,0,""
"PPBP","PPBP",1,1,0,1,0,""
"S1PR5","S1PR5",1,1,0,1,0,""
"NPC1L1","NPC1L1",1,1,0,1,0,""
"CALD1","CALD1",1,1,0,1,0,""
"ANKH","ANKH",1,1,0,1,0,""
"CERS1","CERS1",1,1,0,112,0,""
"CD209","CD209",1,1,0,2,0,""
"STT3A","STT3A",1,1,0,2,0,""
"CD1D","CD1D",0.980708342678006,1,0.00386100386100386,518,2.23218623412545,"HMDB0000277, HMDB0012097"
"MBTPS1","MBTPS1",1,1,0,3,0,""
"KCNIP3","KCNIP3",1,1,0,3,0,""
"PTGER4","PTGER4",0.00927474722261418,0.415082949471093,0.333333333333333,3,2.51542713686358,"HMDB0001220, HMDB0001220"
"SLC25A20","SLC25A20",1,1,0,8,0,""
"GRIA1","GRIA1",1,1,0,7,0,""
"SLC17A5","SLC17A5",1,1,0,1,0,""
"HSP90AA1","HSP90AA1",1,1,0,2,0,""
"P4HB","P4HB",1,1,0,13921,0,""
"CD40","CD40",1,1,0,1,0,""
"MMP2","MMP2",1,1,0,4,0,""
"SLC26A2","SLC26A2",1,1,0,1,0,""
"GNRHR","GNRHR",1,1,0,7,0,""
"HPSE","HPSE",1,1,0,4,0,""
"CYB5A","CYB5A",1,1,0,1,0,""
"SLC22A16","SLC22A16",1,1,0,3,0,""
"SLC6A1","SLC6A1",1,1,0,2,0,""
"DUSP2","DUSP2",1,1,0,4,0,""
"SLC9A3","SLC9A3",1,1,0,1,0,""
"ASGR2","ASGR2",1,1,0,1,0,""
"HRH1","HRH1",0.125927573700271,1,0.0422535211267606,71,2.50499101715248,"HMDB0015202, HMDB0014906, HMDB0014708, HMDB0014708, HMDB0014708"
"VASP","VASP",1,1,0,1,0,""
"GPR109A","GPR109A",1,1,0,1,0,""
"OSBP","OSBP",1,1,0,1,0,""
"IFNB1","IFNB1",1,1,0,1,0,""
"MPG","MPG",1,1,0,5,0,""
"PAEP","PAEP",1,1,0,1,0,""
"MYL12A","MYL12A",1,1,0,1,0,""
"PVALB","PVALB",1,1,0,1,0,""
"LPAR2","LPAR2",1,1,0,13,0,""
"ITPR1","ITPR1",1,1,0,4,0,""
"LPAR1","LPAR1",1,1,0,10,0,""
"CHPT1","CHPT1",1,1,0.0115131578947368,2432,2.9267275068443,"HMDB0056293, HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"RND1","RND1",1,1,0,1,0,""
"SLC5A5","SLC5A5",1,1,0,1,0,""
"HSD17B6","HSD17B6",0.253144873295,1,0.0625,16,2.27163246228885,"HMDB0000234"
"SLC27A6","SLC27A6",1,1,0,9,0,""
"PCBD1","PCBD1",0.0567010309278351,1,0.2,5,2.47868002136744,"HMDB0000027"
"SLC6A8","SLC6A8",1,1,0,2,0,""
"SLC12A2","SLC12A2",1,1,0,4,0,""
"AQP2","AQP2",1,1,0,1,0,""
"GCNT2","GCNT2",1,1,0,3,0,""
"SERPINA7","SERPINA7",1,1,0,2,0,""
"SLC6A6","SLC6A6",1,1,0,3,0,""
"FAAH","FAAH",0.00321286960462218,0.162428407789233,0.111111111111111,9,2.0295381583018,"HMDB0002117, HMDB0002117"
"CDH1","CDH1",1,1,0,1,0,""
"GPHN","GPHN",1,1,0,11,0,""
"TRPV4","TRPV4",1,1,0,1,0,""
"ADAMTSL1","ADAMTSL1",1,1,0,1,0,""
"THRB","THRB",1,1,0,2,0,""
"ZNF148","ZNF148",1,1,0,1,0,""
"FXN","FXN",1,1,0,6,0,""
"SLC5A1","SLC5A1",1,1,0,1,0,""
"MAPKAPK2","MAPKAPK2",1,1,0,2,0,""
"SLC14A1","SLC14A1",1,1,0,1,0,""
"GCKR","GCKR",1,1,0,4,0,""
"MMP14","MMP14",1,1,0,2,0,""
"EEFSEC","EEFSEC",1,1,0,1,0,""
"VCAN","VCAN",1,1,0,1,0,""
"SLC15A2","SLC15A2",0.656962064967412,1,0.0526315789473684,38,2.86178004047527,"HMDB0014559, HMDB0015428"
"HTR3A","HTR3A",1,1,0,16,0,""
"KCNJ11","KCNJ11",1,1,0,11,0,""
"CDH15","CDH15",1,1,0,1,0,""
"CLEC4M","CLEC4M",1,1,0,1,0,""
"MMP7","MMP7",1,1,0,2,0,""
"SCNN1G","SCNN1G",1,1,0,3,0,""
"NUDT1","NUDT1",1,1,0,6,0,""
"SNAP25","SNAP25",1,1,0,1,0,""
"P2RY1","P2RY1",1,1,0,1,0,""
"LTB","LTB",1,1,0,1,0,""
"RAPGEF4","RAPGEF4",1,1,0,4,0,""
"HTR1D","HTR1D",1,1,0,21,0,""
"EEF2","EEF2",1,1,0,4,0,""
"NR5A1","NR5A1",1,1,0,3,0,""
"PIGM","PIGM",0.999979267301415,1,0.00222965440356745,897,2.23218623412545,"HMDB0000277, HMDB0012097"
"SLC7A11","SLC7A11",1,1,0,5,0,""
"B4GALT7","B4GALT7",1,1,0,3,0,""
"PTDSS2","PTDSS2",1,1,0,506,0,""
"CHPF2","CHPF2",1,1,0,2,0,""
"SLC7A10","SLC7A10",1,1,0,2,0,""
"SLC17A3","SLC17A3",1,1,0,1,0,""
"SLC4A4","SLC4A4",1,1,0,2,0,""
"GK3P","GK3P",1,1,0,4,0,""
"PYCRL","PYCRL",0.629407020366953,1,0.111111111111111,9,2.06579273986552,"HMDB0000162"
"SPCS1","SPCS1",1,1,0,2,0,""
"SLC35A3","SLC35A3",1,1,0,1,0,""
"SLC20A2","SLC20A2",1,1,0,2,0,""
"PIGW","PIGW",0.999979267301415,1,0.00222469410456062,899,2.23218623412545,"HMDB0000277, HMDB0012097"
"DPYSL3","DPYSL3",1,1,0,1,0,""
"SLC43A1","SLC43A1",1,1,0,1,0,""
"PRDX1","PRDX1",1,1,0,1,0,""
"HS6ST1","HS6ST1",1,1,0,2,0,""
"AGPAT5","AGPAT5",1,1,0,55,0,""
"RDH16","RDH16",0.0567010309278351,1,0.25,4,2.78844448603716,"HMDB0000031"
"ATP6V0A2","ATP6V0A2",1,1,0,4,0,""
"PPCS","PPCS",1,1,0,9,0,""
"SLC20A1","SLC20A1",1,1,0,2,0,""
"XYLT1","XYLT1",1,1,0,2,0,""
"PRDX2","PRDX2",1,1,0,2,0,""
"CA5B","CA5B",1,1,0,5,0,""
"SLC13A1","SLC13A1",1,1,0,2,0,""
"SLC26A4","SLC26A4",1,1,0,2,0,""
"SLC12A1","SLC12A1",1,1,0,12,0,""
"SLC12A4","SLC12A4",1,1,0,2,0,""
"RDH12","RDH12",1,1,0,1,0,""
"SLC38A3","SLC38A3",1,1,0,5,0,""
"PROSC","PROSC",0.0567010309278351,1,0.5,2,2.06579273986552,"HMDB0000162"
"SLC33A1","SLC33A1",1,1,0,1,0,""
"SLC17A2","SLC17A2",1,1,0,1,0,""
"COX7A2","COX7A2",1,1,0,2,0,""
"RPE","RPE",1,1,0,3,0,""
"MTMR3","MTMR3",1,1,0,3,0,""
"SLC9A5","SLC9A5",1,1,0,1,0,""
"TRDMT1","TRDMT1",1,1,0,5,0,""
"CH25H","CH25H",1,1,0,5,0,""
"SLC8A1","SLC8A1",1,1,0,4,0,""
"AID","AID",1,1,0,6,0,""
"SLC24A4","SLC24A4",1,1,0,2,0,""
"SLC27A5","SLC27A5",0.00321286960462218,0.162428407789233,0.0425531914893617,47,2.57049185024861,"HMDB0000518, HMDB0000359"
"KDSR","KDSR",1,1,0,5,0,""
"SLC25A2","SLC25A2",1,1,0,1,0,""
"GCSH","GCSH",1,1,0,9,0,""
"SLC46A1","SLC46A1",1,1,0,5,0,""
"GBA3","GBA3",1,1,0,20,0,""
"PRDX3","PRDX3",1,1,0,1,0,""
"ALG8","ALG8",1,1,0,2,0,""
"SLC9A8","SLC9A8",1,1,0,1,0,""
"CYBRD1","CYBRD1",1,1,0,2,0,""
"MGAM","MGAM",1,1,0,14,0,""
"SLC12A6","SLC12A6",1,1,0,1,0,""
"SLC9A2","SLC9A2",1,1,0,1,0,""
"HS6ST2","HS6ST2",1,1,0,2,0,""
"SLC12A7","SLC12A7",1,1,0,1,0,""
"CA12","CA12",1,1,0,7,0,""
"DBT","DBT",1,1,0,38,0,""
"SLC34A3","SLC34A3",1,1,0,1,0,""
"SLC7A7","SLC7A7",1,1,0,2,0,""
"PIGX","PIGX",0.999979267301415,1,0.00222965440356745,897,2.23218623412545,"HMDB0000277, HMDB0012097"
"PIGZ","PIGZ",0.999979267301415,1,0.00222965440356745,897,2.23218623412545,"HMDB0000277, HMDB0012097"
"MOGAT2","MOGAT2",1,1,0.00230233262647683,16505,2.9267275068443,"HMDB0011531, HMDB0011562, HMDB0011532, HMDB0011563, HMDB0011533, HMDB0011564, HMDB0011539, HMDB0011540, HMDB0011569, HMDB0011570, HMDB0011532, HMDB0011563, HMDB0056293, HMDB0007937, HMDB0008033, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"SLC3A2","SLC3A2",1,1,0,7,0,""
"DUOX2","DUOX2",1,1,0,6,0,""
"MMAA","MMAA",1,1,0,4,0,""
"SLC1A1","SLC1A1",1,1,0,3,0,""
"SLC24A2","SLC24A2",1,1,0,2,0,""
"PHOSPHO1","PHOSPHO1",1,1,0,8,0,""
"SLC13A4","SLC13A4",1,1,0,3,0,""
"SLC12A3","SLC12A3",1,1,0,11,0,""
"ATP5G3","ATP5G3",1,1,0,4,0,""
"SETD8","SETD8",1,1,0,2,0,""
"SLC25A18","SLC25A18",1,1,0,1,0,""
"UQCR11","UQCR11",1,1,0,4,0,""
"COX5A","COX5A",1,1,0,4,0,""
"SLC1A4","SLC1A4",1,1,0,6,0,""
"SLC7A3","SLC7A3",1,1,0,2,0,""
"PPCDC","PPCDC",1,1,0,4,0,""
"SLC25A3","SLC25A3",1,1,0,1,0,""
"ST3GAL4","ST3GAL4",1,1,0,13,0,""
"PIK3C2A","PIK3C2A",1,1,0,129,0,""
"SLC23A1","SLC23A1",1,1,0,2,0,""
"ECH1","ECH1",1,1,0,1,0,""
"SLC6A13","SLC6A13",1,1,0,1,0,""
"SLC24A1","SLC24A1",1,1,0,2,0,""
"SLC38A4","SLC38A4",1,1,0,1,0,""
"ALOX12B","ALOX12B",1,1,0,3,0,""
"SLC27A3","SLC27A3",1,1,0,40,0,""
"SLC35D1","SLC35D1",1,1,0,1,0,""
"SLC1A3","SLC1A3",1,1,0,2,0,""
"SLC23A2","SLC23A2",1,1,0,2,0,""
"CA4","CA4",1,1,0,22,0,""
"SLC24A3","SLC24A3",1,1,0,2,0,""
"ATP1A4","ATP1A4",1,1,0,7,0,""
"SLC25A12","SLC25A12",1,1,0,2,0,""
"XYLT2","XYLT2",1,1,0,2,0,""
"COX6A2","COX6A2",1,1,0,3,0,""
"SLC1A2","SLC1A2",1,1,0,2,0,""
"UXS1","UXS1",1,1,0,5,0,""
"SOD3","SOD3",1,1,0,8,0,""
"P5CR2","P5CR2",0.0567010309278351,1,1,1,2.06579273986552,"HMDB0000162"
"SLC4A10","SLC4A10",1,1,0,3,0,""
"SLC7A5","SLC7A5",1,1,0,2,0,""
"COX7B","COX7B",1,1,0,3,0,""
"PNPLA4","PNPLA4",1,1,6.57548658600736e-05,15208,2.50718854956572,"HMDB0056293"
"COX7C","COX7C",1,1,0,3,0,""
"DPYSL2","DPYSL2",1,1,0,1,0,""
"FOLR3","FOLR3",1,1,0,1,0,""
"SLC8A3","SLC8A3",1,1,0,2,0,""
"COX5B","COX5B",1,1,0,3,0,""
"SLC8A2","SLC8A2",1,1,0,2,0,""
"CA9","CA9",1,1,0,7,0,""
"SLC27A1","SLC27A1",0.999999998535049,1,7.08616780045351e-05,14112,2.50718854956572,"HMDB0056293"
"MLL3","MLL3",1,1,0,3,0,""
"COX6B1","COX6B1",1,1,0,3,0,""
"ITPKC","ITPKC",1,1,0,5,0,""
"NT5C3","NT5C3",0.870548720268096,1,0.03125,32,2.43725501440025,"HMDB0000133"
"SLC29A2","SLC29A2",1,1,0,3,0,""
"CSGALNACT2","CSGALNACT2",1,1,0,3,0,""
"SLC1A7","SLC1A7",1,1,0,3,0,""
"COX7B2","COX7B2",1,1,0,2,0,""
"SLCO4A1","SLCO4A1",1.48455861453887e-08,1.01321125442278e-05,0.244186046511628,86,2.57049185024861,"HMDB0000545, HMDB0000659, HMDB0000348, HMDB0000361, HMDB0000384, HMDB0000411, HMDB0000438, HMDB0000478, HMDB0000514, HMDB0000518, HMDB0000626, HMDB0000664, HMDB0000686, HMDB0000733, HMDB0000811, HMDB0000946, HMDB0002451, HMDB0002488, HMDB0002536, HMDB0002585, HMDB0000359"
"COX4I1","COX4I1",1,1,0,3,0,""
"SLC6A5","SLC6A5",1,1,0,2,0,""
"ZADH2","ZADH2",1,1,0,6,0,""
"SLC26A3","SLC26A3",1,1,0,2,0,""
"AKR7A2","AKR7A2",1,1,0,6,0,""
"SLC7A1","SLC7A1",1,1,0,2,0,""
"bGnT-2","bGnT-2",1,1,0,5,0,""
"COX6B2","COX6B2",1,1,0,2,0,""
"SLC4A7","SLC4A7",1,1,0,3,0,""
"FADS2","FADS2",1,1,0,3,0,""
"ACAD10","ACAD10",1,1,0,32,0,""
"GGH","GGH",1,1,0,5,0,""
"CHST5","CHST5",1,1,0,1,0,""
"NADSYN1","NADSYN1",1,1,0,11,0,""
"SLC34A2","SLC34A2",1,1,0,2,0,""
"ACAD11","ACAD11",1,1,0,32,0,""
"UST","UST",1,1,0,1,0,""
"SLC13A2","SLC13A2",1,1,0,2,0,""
"RDH13","RDH13",1,1,0,8,0,""
"SLC35B2","SLC35B2",1,1,0,3,0,""
"SLC17A1","SLC17A1",1,1,0,2,0,""
"CA13","CA13",1,1,0,5,0,""
"SLC6A7","SLC6A7",0.0567010309278351,1,0.5,2,2.06579273986552,"HMDB0000162"
"INPPL1","INPPL1",1,1,0,510,0,""
"ATP5G1","ATP5G1",1,1,0,4,0,""
"SLC1A6","SLC1A6",1,1,0,2,0,""
"DAD1","DAD1",1,1,0,2,0,""
"COX8A","COX8A",1,1,0,3,0,""
"SLC5A2","SLC5A2",1,1,0,1,0,""
"INPP4B","INPP4B",1,1,0,7,0,""
"SLC29A3","SLC29A3",1,1,0,1,0,""
"B3GALT6","B3GALT6",1,1,0,6,0,""
"PIP5K1C","PIP5K1C",1,1,0,3,0,""
"COX6C","COX6C",1,1,0,3,0,""
"AGPAT6","AGPAT6",1,1,0,53,0,""
"COX7A2L","COX7A2L",1,1,0,2,0,""
"CAD","CAD",1,1,0,17,0,""
"COX8C","COX8C",1,1,0,2,0,""
"HS6ST3","HS6ST3",1,1,0,2,0,""
"SLC6A14","SLC6A14",0.0567010309278351,1,0.5,2,2.06579273986552,"HMDB0000162"
"THNSL1","THNSL1",1,1,0,2,0,""
"PIK4CB","PIK4CB",1,1,0,2,0,""
"ECI1","ECI1",1,1,0,5,0,""
"ALG10","ALG10",1,1,0,2,0,""
"SLC38A2","SLC38A2",1,1,0,1,0,""
"SLC38A1","SLC38A1",1,1,0,2,0,""
"SLC38A5","SLC38A5",1,1,0,1,0,""
"ASRGL1","ASRGL1",1,1,0,4,0,""
"CEPT1","CEPT1",1,1,0.0376512774540565,2231,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"ST6GALNAC6","ST6GALNAC6",1,1,0,1,0,""
"CRLS1","CRLS1",1,1,0,95,0,""
"PGS1","PGS1",1,1,0.000759301442672741,1317,2.50718854956572,"HMDB0056293"
"SLC7A2","SLC7A2",1,1,0,1,0,""
"AGXT2L1","AGXT2L1",1,1,0,6,0,""
"LDHB","LDHB",1,1,0,9,0,""
"LDHC","LDHC",1,1,0,9,0,""
"LDHA","LDHA",1,1,0,10,0,""
"LDHAL6B","LDHAL6B",1,1,0,9,0,""
"LDHD","LDHD",1,1,0,4,0,""
"SLC36A1","SLC36A1",1,1,0,2,0,""
"SLC32A1","SLC32A1",1,1,0,1,0,""
"TMLHE","TMLHE",0.408701636399999,1,0.0714285714285714,14,2.38318950513945,"HMDB0001422"
"GPT2","GPT2",1,1,0,7,0,""
"AMDHD2","AMDHD2",1,1,0,4,0,""
"COQ2","COQ2",1,1,0,8,0,""
"GMPPB","GMPPB",1,1,0,6,0,""
"GMPPA","GMPPA",1,1,0,6,0,""
"PGM2","PGM2",1,1,0,11,0,""
"NT5C2","NT5C2",0.854495101561439,1,0.037037037037037,27,2.43725501440025,"HMDB0000133"
"PNP","PNP",0.816173721218124,1,0.04,25,2.43725501440025,"HMDB0000133"
"INPP5D","INPP5D",1,1,0,382,0,""
"SLC28A3","SLC28A3",1,1,0,3,0,""
"TK1","TK1",1,1,0,9,0,""
"TK2","TK2",1,1,0,8,0,""
"TYMP","TYMP",1,1,0,13,0,""
"ADHFE1","ADHFE1",1,1,0,14,0,""
"PDXP","PDXP",0.00321286960462218,0.162428407789233,0.1,10,2.22319348904583,"HMDB0001545, HMDB0001545"
"SLC18A1","SLC18A1",1,1,0,1,0,""
"LGSN","LGSN",1,1,0,1,0,""
"SLC25A4","SLC25A4",1,1,0,1,0,""
"SLC25A5","SLC25A5",1,1,0,1,0,""
"SLC25A6","SLC25A6",1,1,0,1,0,""
"SLC17A8","SLC17A8",1,1,0,1,0,""
"SLC17A6","SLC17A6",1,1,0,1,0,""
"SLC17A7","SLC17A7",1,1,0,1,0,""
"ABCC4","ABCC4",0.0887104756925277,1,0.08,25,2.54784456022817,"HMDB0015167, HMDB0013974"
"ABCC5","ABCC5",0.110189192251048,1,0.111111111111111,9,2.54784456022817,"HMDB0015167"
"MAT2B","MAT2B",1,1,0,9,0,""
"PIK3R1","PIK3R1",1,1,0,1,0,""
"PIK3R3","PIK3R3",1,1,0,1,0,""
"PIK3R2","PIK3R2",1,1,0,1,0,""
"HCST","HCST",1,1,0,1,0,""
"PIK3C3","PIK3C3",1,1,0,385,0,""
"ATP6V1H","ATP6V1H",1,1,0,4,0,""
"ATP6V1D","ATP6V1D",1,1,0,4,0,""
"ATP6V0D2","ATP6V0D2",1,1,0,4,0,""
"ATP6V1E2","ATP6V1E2",1,1,0,4,0,""
"ATP6V1C2","ATP6V1C2",1,1,0,4,0,""
"AK2","AK2",1,1,0,6,0,""
"CTPS2","CTPS2",1,1,0,11,0,""
"PIP4K2C","PIP4K2C",1,1,0,3,0,""
"NMRK1","NMRK1",1,1,0,8,0,""
"AACS","AACS",1,1,0,7,0,""
"ETNK2","ETNK2",1,1,0,4,0,""
"ADCY10","ADCY10",1,1,0,9,0,""
"ACSM1","ACSM1",1,1,0,47,0,""
"DGKH","DGKH",1,1,0.000769230769230769,1300,2.50718854956572,"HMDB0056293"
"BHMT2","BHMT2",1,1,0,10,0,""
"MOXD1","MOXD1",1,1,0,1,0,""
"SLC22A2","SLC22A2",0.250456808519723,1,0.0625,32,2.17685659770472,"HMDB0015169, HMDB0001830"
"SLC22A3","SLC22A3",0.00821278013310615,0.380015080735251,0.142857142857143,21,2.27163246228885,"HMDB0015169, HMDB0000234, HMDB0001830"
"TYMS","TYMS",1,1,0,14,0,""
"PDE11A","PDE11A",1,1,0,7,0,""
"HSD3B1","HSD3B1",0.000313690082043281,0.024822432579077,0.2,20,2.78844448603716,"HMDB0000077, HMDB0000234, HMDB0003818, HMDB0001830"
"HSD3B2","HSD3B2",0.00103008931365111,0.0740037849017769,0.166666666666667,24,2.78844448603716,"HMDB0000077, HMDB0000234, HMDB0003818, HMDB0001830"
"PGP","PGP",1,1,0,5,0,""
"PLCXD2","PLCXD2",1,1,0,379,0,""
"PLCD4","PLCD4",1,1,0.000602046959662854,1661,2.50718854956572,"HMDB0056293"
"PLCH1","PLCH1",1,1,0.000602409638554217,1660,2.50718854956572,"HMDB0056293"
"PLCE1","PLCE1",1,1,0.000602046959662854,1661,2.50718854956572,"HMDB0056293"
"PLCD3","PLCD3",1,1,0.0102986611740474,2913,2.9267275068443,"HMDB0006482, HMDB0056293, HMDB0007937, HMDB0008033, HMDB0012097, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"ELOVL4","ELOVL4",1,1,0,4,0,""
"DGAT2","DGAT2",1,1,6.564695069914e-05,15233,2.50718854956572,"HMDB0056293"
"AGPAT4","AGPAT4",1,1,0,55,0,""
"MOGAT1","MOGAT1",0.999999999999993,1,0.00071928333224351,15293,2.56783901379312,"HMDB0011531, HMDB0011562, HMDB0011532, HMDB0011563, HMDB0011533, HMDB0011564, HMDB0011539, HMDB0011540, HMDB0011569, HMDB0011570, HMDB0011532, HMDB0011563, HMDB0056293"
"HIBCH","HIBCH",1,1,0,10,0,""
"SCLY","SCLY",1,1,0,9,0,""
"SLC19A3","SLC19A3",1,1,0,1,0,""
"CA14","CA14",1,1,0,5,0,""
"CA7","CA7",1,1,0,9,0,""
"HSD3B7","HSD3B7",1,1,0,15,0,""
"HMGCLL1","HMGCLL1",1,1,0,3,0,""
"CYP46A1","CYP46A1",1,1,0,7,0,""
"PPA2","PPA2",1,1,0,5,0,""
"G6PC3","G6PC3",1,1,0,5,0,""
"G6PC2","G6PC2",1,1,0,6,0,""
"SLC26A11","SLC26A11",1,1,0,2,0,""
"SLC26A9","SLC26A9",1,1,0,2,0,""
"SLC26A7","SLC26A7",1,1,0,3,0,""
"SLC26A8","SLC26A8",1,1,0,1,0,""
"CYP11B2","CYP11B2",0.607115831434763,1,0.05,20,2.08247312089659,"HMDB0001830"
"ACAD8","ACAD8",1,1,0,38,0,""
"ACAD9","ACAD9",1,1,0,33,0,""
"GALNT9","GALNT9",1,1,0,6,0,""
"SLC16A10","SLC16A10",0.805442075047045,1,0.136363636363636,22,3.00639442877175,"HMDB0000162, HMDB0000929, HMDB0000158"
"PRODH2","PRODH2",0.0567010309278351,1,0.333333333333333,3,2.06579273986552,"HMDB0000162"
"RDH8","RDH8",1,1,0,4,0,""
"RDH14","RDH14",1,1,0,1,0,""
