"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1","mz","rt","isotopes","adduct","mass","zscore"
"3582",9.45581825521553,7.57851150120081,8.77924495150523,9.76706167985771,10.71848183859,10.0236508650593,8.8363975596968,9.63557938492716,8.84382231924353,7.26247907998261,13.0721010911627,262.086174663026,751.397766113281,"","","262.086174663026",2.30454892777686
"3614",13.895197293405,14.0232583096777,13.7163365532229,14.0321563841722,13.8591443122604,13.672065480548,13.7546932774491,13.7522517311364,13.9999202778903,13.6815559220482,14.3751091097482,263.11919812166,776.423614501953,"","","263.11919812166",2.31269196306598
"3638",13.7977620011876,14.3035325085614,13.9110456381663,13.7758054362962,14.1967687797099,13.9121881161253,14.4822299548256,13.700578612816,13.9052261972881,14.459721865899,12.6146114399412,264.103655994627,688.418029785156,"","","264.103655994627",-2.53999969607376
"3641",15.4960341234403,15.4927168297579,15.3898369290854,15.5947927240924,15.4863932101692,15.506152303011,15.6241438811698,15.6178004903613,15.7921546408059,15.751536623892,14.5982826874591,264.156852879509,591.627990722656,"","[M+Na]+ 241.167","241.167",-2.79386304872226
"3704",21.9004224635715,21.6388204675108,21.7517438873914,22.0183526655542,21.7952190222347,21.8523321710294,22.0505432387642,21.8823394078362,22.2091189940459,21.8779974927406,20.9570854461999,266.172620056909,714.93603515625,"[451][M]+","[M+Na]+ 243.183","243.183",-2.65061898537148
"3758",14.3542345814611,14.2088523804137,14.2644086710218,14.5409515489795,14.6214927935011,14.3046314695696,14.7843155018519,14.5389247025719,14.7617945921591,14.714541120068,13.6017427545664,268.130582786027,662.237426757812,"","[M+K]+ 229.168","229.168",-2.4215697183258
"3829",10.9955284091584,10.275262184523,10.1955223517093,10.7183574453968,11.4956231716115,10.6729476621097,8.99142475356208,10.5106476801825,8.43804823276128,10.3613729701929,13.4535941976562,270.100168405026,751.729736328125,"","[M+Na+HCOOH]+ 201.105","201.105",2.24313675374821
"3851",14.1979071832641,13.7062729009332,14.1198138761814,13.8516469512242,14.6377483792577,13.977257936922,13.7559197972774,13.7458839626091,13.92339310531,14.1568564837406,16.2984318510892,271.088107011326,751.72900390625,"[474][M]+","","271.088107011326",2.80973691623172
"3855",15.7497547204247,15.6321519154966,15.6187433984577,15.5600837095612,14.2753820005196,16.054433944062,15.7448846713325,16.0414227708681,15.1142795861604,15.0009082499407,12.6562672926389,271.087289167667,728.857879638672,"[475][M]+","[M+K]+ 232.124","232.124",-2.57978039484735
"3885",14.4621541808833,14.2620594311418,14.2491133087741,14.3174366641882,14.6333932840235,14.4725978271684,14.6471172645668,14.4713115239707,14.6134102958607,14.6440572721028,13.6076755791737,272.221502860173,798.798034667969,"[479][M]+","[M+H]+ 271.214","271.214",-2.61884606062631
"3937",14.1837768688402,14.2366624060622,14.1818430410802,14.3249882856809,14.3273870167216,14.466390388376,14.5562122721417,14.497416780264,14.6551935533437,14.6600942894652,13.4532483395587,274.139096891285,662.562438964844,"","[M+2Na-H]+ 229.168","229.168",-2.58173989430322
"3944",13.5192744641181,13.3225225546431,13.5403724773018,13.8198884853917,12.4704269501296,13.542647141259,13.9213641886983,14.1345289369813,13.8712554048387,13.924511096052,12.2738813119194,274.176838593736,755.707214355469,"","[M+H]+ 273.171","273.171",-2.02024890071035
"3952",15.068724066993,14.8835351281089,15.0571333798477,15.4303497727768,14.5847600622711,14.9299182301203,15.1064221714347,15.6480818152601,14.2990029896688,14.3504751415554,13.2509754237705,275.146274870803,370.017730712891,"","[2M+H]+ 137.059","137.059",-2.34448835038138
"3973",12.3784716464712,12.0626388294268,12.4077124416675,12.1543774110439,12.2176522045916,12.2298318137286,12.6956247722887,12.6594257747259,12.6266602798814,12.7275248445898,10.7153401409167,275.232850298322,714.936157226562,"","[M+H-C2H4]+ 302.257","302.257",-2.74294885938549
"4021",14.9775366145863,14.5208054822702,14.232201381649,14.4034801337886,14.5824426172265,14.9532068057424,14.4795433261494,14.0168263975749,14.5581709383846,14.4650304598934,15.96414430776,277.176896133982,850.176483154297,"","","277.176896133982",2.5496332362879
"4043",16.6209019077874,17.0666358953353,16.8546935258925,17.2270178663344,17.1607672790908,17.1092793419414,16.9639404867942,17.640646492447,16.8635622632043,17.7933698249236,16.1250674869392,278.245292400079,962.545715332031,"[499][M]+","[M+Na]+ 255.256","255.256",-2.00940735449371
"4050",12.2718303291887,12.3153877503641,12.2581032679949,13.5817134204635,11.3019437457541,11.9884583176976,11.7105272296661,11.6298423082042,13.4960199848253,13.0139487360263,15.1759042455815,278.185068940107,377.643157958984,"[501][M]2+","","278.185068940107",2.27700152045949
"4102",16.9718312839568,16.7197949930869,16.8230625297966,16.9763831633645,16.7020255261971,16.817804479479,17.2904854981402,16.8104527091502,16.9689435414495,17.1440415445064,15.6319286422922,280.187899719865,674.164978027344,"[514][M]+","[M+Na]+ 257.199","257.199",-2.74316532760649
"4105",15.0230910412383,14.769526860098,14.9583045695307,14.900903829021,14.7443030341157,14.7166211501202,14.6220407371057,15.169300966734,14.7181783704607,14.796662613467,13.9097635208056,280.170639456843,944.97802734375,"","","280.170639456843",-2.62376402585046
"4106",15.5645401696315,15.4856974478883,15.4996774166216,15.4760547299397,15.5317145264027,15.6300142741777,15.7692982558849,15.6865155952087,15.79942244044,15.9058741337964,14.7948786202517,280.187787814868,760.015991210938,"","[M+Na]+ 257.199","257.199",-2.62842782064669
"4110",12.8350147430458,12.8284663550873,12.3586521153552,12.8590588837015,13.0555504934444,12.8287748648659,12.8862085182129,13.0111373571151,13.1213587452609,13.0059273515103,12.075643940017,280.130331511764,591.628295898438,"","[M+K]+ 241.167","241.167",-2.32300352667574
"4129",15.7202350209142,15.3995590101538,15.2666334206293,15.234891086649,14.3721507133817,15.324757378339,15.354255836255,15.6990832443721,14.5751236711056,14.7826916251422,9.31356335997929,281.094862731576,728.857879638672,"[516][M]+","[M+Na]+ 258.103 [M+H]+ 280.086","258.103;280.086",-2.92966511935403
"4133",13.7200056472527,12.1510483497303,13.9427643989937,14.2318533758603,13.9924440526565,13.3910819226694,12.0144694751607,13.0702623739209,13.7319382230208,13.8818006037746,10.3739274007178,281.085144471248,119.280536651611,"","[M+Na]+ 258.096","258.096",-2.35473243723214
"4168",17.0640647628184,16.783370738032,16.9781994922949,17.1539469138957,16.9442828729447,16.9758568361935,17.1744617159356,17.0320385902329,17.3497338383786,17.0669489842609,16.2433459384759,282.146077919735,714.93603515625,"","[M+K]+ 243.183","243.183",-2.59242236389313
"4193",17.0049150742526,17.319639478052,17.1723509017069,17.4032643025318,17.3002764360065,17.2658715141814,17.1738017136976,17.6228268535649,17.0376190044191,17.8676919772992,16.5605802764605,282.278881203468,972.158996582031,"[525][M]+","[M+H]+ 281.272","281.272",-2.03268704697424
"4232",15.7660875099167,14.6844939631969,16.8057337230644,15.9031117093707,13.9380187115382,14.7927868923599,14.1043309950202,13.7750425793485,14.4560283695822,15.4981703136486,11.8616921764121,284.135085032247,95.08300000002,"","","284.135085032247",-2.13346623026806
"4284",17.9130612390567,16.803594517196,17.0280193094852,14.6811063065502,16.5546428851732,16.6488447458536,19.4311474620335,19.9672780035076,17.5578060267072,17.1179098253834,12.8143870833761,286.143539153712,775.92626953125,"","[M+H]+ 285.136","285.136",-2.09430656589354
"4327",17.1473893109535,16.9337793826243,17.0728898404783,17.3545231382325,17.0972661325189,17.2259305108229,17.4335739319791,17.3126386610524,17.5416897520265,17.3309094951031,16.4277635760931,288.154359724897,714.93603515625,"[548][M]+","[M+2Na-H]+ 243.183","243.183",-2.45898466477944
"4368",12.7630372736442,13.8322368631872,12.2148097694585,11.8195599055992,13.5799821857766,12.1333052653339,11.7156705695992,12.6601678147734,12.6035109026496,13.2310716264247,10.0684362732397,289.221111457494,823.990386962891,"","[M+H]+ 288.212","288.212",-2.27163246228885
"4374",13.6725848141333,13.3856672684729,13.5561462837353,13.6623340270345,13.615811686577,13.5904887845935,13.8665775681028,13.5112903796591,13.8339872727494,13.679998159443,12.8345085029857,289.248388838141,714.936,"","[M+H-CH2]+ 302.257","302.257",-2.63144817773308
"4395",14.1812037871552,14.3115366260453,14.4379852758995,14.0981476058774,14.4927013187947,14.3546868675774,14.7272103586398,14.8039831092257,14.3845950597715,15.2655009400955,13.2542602513752,290.172636447526,783.219360351562,"","","290.172636447526",-2.27977500748736
"4428",12.1787233639098,12.5661794689017,12.4210668910841,12.6141027317354,12.5344727117293,12.9773606477757,12.7619455130233,12.7332090173464,12.7630824668365,12.8976576277319,11.0144844803512,291.202593187811,706.317565917969,"","","291.202593187811",-2.74607352007047
"4439",14.4156796119414,13.9713304992655,14.1042191836052,14.1733106705674,13.3683825024306,13.8968172715191,14.3088281700795,13.2347137489817,14.1637300554991,13.9019709924585,12.8121170861186,292.188126221282,716.262023925781,"","","292.188126221282",-2.07370759387983
"4477",15.1137792382335,14.9332409099999,15.3969890638032,15.5078935009656,15.4896740408706,15.191311625533,15.2899116159142,15.1737699429618,15.5133408862549,15.0657195386791,16.0279464696483,293.135445742881,620.629547119141,"","","293.135445742881",2.3027302276683
"4482",13.8763953819685,14.3063391654153,14.2696133636008,14.438798836221,14.4476421137217,14.3310682936417,14.175023304678,14.7258013498027,14.1407794765687,15.0141808622212,13.2228948107576,293.283537008952,1000.99645996094,"[572][M]+","[M+H-NH3]+ 309.303","309.303",-2.27871170779524
"4485",13.6402412505047,13.6794702051503,13.770043529922,13.6093682249455,13.5498171999737,13.7639452096082,13.9301495040043,13.8246402045552,13.9247319252927,14.1922667897586,13.0115556380633,293.181980180282,643.006958007812,"","","293.181980180282",-2.38692813503084
"4506",16.5154583587622,16.4192344283347,16.4523241548154,16.4538200940091,16.6899601937247,16.6227431298917,16.7675894259304,16.5951664205078,16.7920483329037,16.7251495115534,15.6833826028901,294.203735593985,798.798,"","[M+Na]+ 271.214","271.214",-2.72557033641252
"4507",14.0075822569453,14.3181966112744,14.1015532166628,14.2348078408666,14.0542041905343,14.2317703312561,14.3976725736293,14.3720060933829,14.2895501771778,14.4997910124718,13.1292985901054,294.16784753339,683.776977539062,"","[M+H-CH4]+ 309.193","309.193",-2.75607744939344
"4535",9.49671466518222,8.1827338545622,8.27235106278184,7.38932621508993,9.50321157490149,8.99757076306911,7.97123431405968,9.09394985823504,8.91307934791947,10.3374513656043,11.3478208385499,295.062177963371,848.18798828125,"","","295.062177963371",2.04708469159963
"4539",16.5249166813004,16.5822151066172,16.637321303811,16.7137699064033,16.38380624522,16.4699276660898,16.510513550354,16.6085994434719,16.6160476481217,16.4246779679766,15.9279363726261,295.187408876511,897.244934082031,"[583][M]+","[M+Na]+ 272.197","272.197",-2.67245371156917
"4615",13.4017040453227,13.2968082257464,13.2993193940054,13.5731368167835,13.45167907138,13.5228729990235,13.3955559244653,12.7279031912251,13.585934430099,13.3264242629067,11.4003553519408,298.109689673432,714.93603515625,"","[M+H-CH3]+ 312.121","312.121",-2.80459781118297
