"","x"
"868",5
"869",0
"870",0
"871",2
"872",6
"873",0
"874",0
"875",0
"876",0
"877",1
"878",3
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",1
"886",0
"887",1
"888",1
"889",3
"890",2
"891",2
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",2
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",0
"909",0
"910",0
"911",0
"912",9
"913",12
"914",3
"915",0
"916",9
"917",3
"918",0
"919",0
"920",0
"921",0
"922",12
"923",2
"924",0
"925",4
"926",0
"927",12
"928",0
"929",0
"930",0
"931",7
"932",12
"933",0
"934",2
"935",0
"936",0
"937",2
"938",2
"939",0
"940",0
"941",0
"942",0
"943",1
"944",0
"945",4
"946",0
"947",3
"948",0
"949",0
"950",0
"951",0
"952",0
"953",0
"954",1
"955",0
"956",1
"957",0
"958",0
"959",0
"960",0
"961",0
"962",10
"963",7
"964",0
"965",0
"966",0
"967",0
"968",4
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",1
"976",0
"977",0
"978",0
"979",0
"980",10
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",0
"988",0
"989",0
"990",3
"991",0
"992",3
"993",2
"994",5
"995",0
"996",0
"997",3
"998",11
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",8
"1008",3
"1009",0
"1010",0
"1011",3
"1012",1
"1013",20
"1014",0
"1015",0
"1016",0
"1017",12
"1018",0
"1019",0
"1020",0
"1021",1
"1022",1
"1023",1
"1024",0
"1025",0
"1026",0
"1027",4
"1028",0
"1029",2
"1030",0
"1031",1
"1032",1
"1033",0
"1034",1
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",6
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",2
"1048",0
"1049",1
"1050",0
"1051",78
"1052",0
"1053",78
"1054",0
"1055",5
"1056",5
"1057",5
"1058",12
"1059",2
"1060",2
"1061",12
"1062",2
"1063",3
"1064",13
"1065",12
"1066",12
"1067",6
"1068",3
"1069",0
"1070",5
"1071",0
"1072",1
"1073",13
"1074",3
"1075",13
"1076",1
"1077",0
"1078",6
"1079",5
"1080",1
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",0
"1087",0
"1088",0
"1089",0
"1090",0
"1091",7
"1092",0
"1093",0
"1094",2
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",1
"1105",0
"1106",0
"1107",0
"1108",6
"1109",1
"1110",0
"1111",0
"1112",2
"1113",1
"1114",11
"1115",0
"1116",2
"1117",0
"1118",5
"1119",4
"1120",0
"1121",0
"1122",0
"1123",0
"1124",0
"1125",2
"1126",0
"1127",0
"1128",8
"1129",0
"1130",0
"1131",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0
"1137",4
"1138",0
"1139",22
"1140",1
"1141",2
"1142",8
"1143",0
"1144",0
"1145",0
"1146",0
"1147",6
"1148",0
"1149",0
"1150",0
"1151",0
"1152",5
"1153",0
"1154",6
"1155",0
"1156",8
"1157",2
"1158",0
"1159",0
"1160",0
"1161",14
"1162",0
"1163",0
"1164",14
"1165",0
"1166",14
"1167",0
"1168",0
"1169",14
"1170",2
"1171",2
"1172",0
"1173",0
"1174",0
"1175",5
"1176",0
"1177",0
"1178",15
"1179",0
"1180",0
"1181",0
"1182",3
"1183",0
"1184",0
"1185",2
"1186",7
"1187",5
"1188",7
"1189",0
"1190",0
"1191",0
"1192",3
"1193",6
"1194",1
"1195",2
"1196",0
"1197",2
"1198",1
"1199",0
"1200",0
"1201",0
"1202",0
"1203",1
"1204",0
"1205",0
"1206",0
"1207",1
"1208",0
"1209",10
"1210",0
"1211",0
"1212",1
"1213",3
"1214",0
"1215",2
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",1
"1223",9
"1224",18
"1225",2
"1226",2
"1227",1
"1228",1
"1229",0
"1230",0
"1231",0
"1232",0
"1233",0
"1234",0
"1235",0
"1236",0
"1237",0
"1238",0
"1239",0
"1240",0
"1241",0
"1242",0
"1243",0
"1244",0
"1245",7
"1246",3
"1247",0
"1248",2
"1249",0
"1250",3
"1251",20
"1252",0
"1253",0
"1254",32
"1255",2
"1256",0
"1257",10
"1258",1
"1259",6
"1260",1
"1261",4
"1262",0
"1263",1
"1264",0
"1265",0
"1266",1
"1267",1
"1268",0
"1269",0
"1270",0
"1271",5
"1272",2
"1273",5
"1274",0
"1275",5
"1276",0
"1277",0
"1278",4
"1279",3
"1280",0
"1281",0
"1282",0
"1283",12
"1284",12
"1285",0
"1286",0
"1287",12
"1288",5
"1289",9
"1290",0
"1291",2
"1292",0
"1293",0
"1294",1
"1295",1
"1296",2
"1297",2
"1298",0
"1299",1
"1300",0
"1301",20
"1302",18
"1303",0
"1304",1
"1305",0
"1306",2
"1307",1
"1308",0
"1309",0
"1310",12
"1311",2
"1312",1
"1313",2
"1314",2
"1315",0
"1316",2
"1317",8
"1318",0
"1319",12
"1320",2
"1321",0
"1322",3
"1323",0
"1324",1
"1325",6
"1326",12
"1327",2
"1328",3
"1329",0
"1330",2
"1331",0
"1332",10
"1333",0
"1334",1
"1335",3
"1336",21
"1337",0
"1338",0
"1339",0
"1340",2
"1341",13
"1342",13
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",2
"1350",2
"1351",0
"1352",0
"1353",1
"1354",1
"1355",1
"1356",3
"1357",1
"1358",1
"1359",1
"1360",1
"1361",1
"1362",0
"1363",7
"1364",5
"1365",0
"1366",1
"1367",0
"1368",3
"1369",3
"1370",0
"1371",0
"1372",0
"1373",0
"1374",0
"1375",1
"1376",10
"1377",0
"1378",1
"1379",1
"1380",0
"1381",0
"1382",0
"1383",1
"1384",0
"1385",0
"1386",24
"1387",0
"1388",0
"1389",6
"1390",0
"1391",0
"1392",0
"1393",0
"1394",0
"1395",1
"1396",0
"1397",0
"1398",0
"1399",1
"1400",2
"1401",0
"1402",2
"1403",2
"1404",1
"1405",0
"1406",0
"1407",2
"1408",6
"1409",2
"1410",2
"1411",2
"1412",2
"1413",0
"1414",0
"1415",1
"1416",1
"1417",0
"1418",0
"1419",0
"1420",0
"1421",8
"1422",0
"1423",0
"1424",0
"1425",0
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",2
"1432",2
"1433",1
"1434",2
"1435",0
"1436",0
"1437",0
"1438",5
"1439",2
"1440",0
"1441",0
"1442",0
"1443",5
"1444",2
"1445",2
"1446",2
"1447",5
"1448",0
"1449",0
"1450",4
"1451",0
"1452",0
"1453",5
"1454",0
"1455",0
"1456",22
"1457",1
"1458",2
"1459",1
"1460",0
"1461",0
"1462",0
"1463",1
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",1
"1470",1
"1471",0
"1472",0
"1473",0
"1474",13
"1475",1
"1476",1
