"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT15469",19751.88789,12477.61331,12253.2351,3191.350743,7574.010824,14539.16024,12290.03635,8690.617396,22433.16075,1665.085898,8306.33408
"FT15470",11740.00984,13771.409,15642.74876,12677.23453,11809.46345,15097.42977,20211.80805,10993.68006,17557.26463,9497.126077,12295.76274
"FT15471",4398.73254,3555.951252,5047.179472,6602.073107,3620.739917,4519.599751,4916.053576,9166.946657,5758.037899,11171.00189,4093.513837
"FT15472",7999.183773,6102.175568,7823.814174,7168.88773,7639.729787,6099.765992,8252.229152,9302.179173,6933.931419,8725.217201,6608.454636
"FT15473",74838.75586,157564.6239,96860.81746,115398.9777,130722.3227,81117.62299,91272.48038,159344.3757,36536.03363,201530.1127,109057.2651
"FT15474",32168.83007,40953.85307,58833.33555,38330.42277,82925.22148,47825.84675,49434.41311,71136.31013,33471.37302,91037.15634,64621.37968
"FT15475",95069.18313,58979.72379,80735.46774,88680.70609,76879.22381,71048.13705,79162.94999,118008.6837,47439.49934,106411.3664,122996.7583
"FT15476",287176.4634,593824.94,465797.6796,308275.593,873748.7142,465394.2314,308545.2242,597074.7331,340998.9017,748980.6348,463413.8289
"FT15477",13762.93222,11731.19579,17661.6118,19069.53686,28224.54434,10505.65387,13757.8094,23645.04962,7360.870174,32130.88377,18325.62455
"FT15478",4373.389412,4983.002954,5143.017095,4123.207036,5015.994433,5298.746947,4903.677176,4001.975704,4196.826175,5086.791097,4775.346072
"FT15479",3760.548603,3492.197631,4426.965447,5164.950803,5030.117123,4381.959324,2825.989695,6756.564644,2548.451348,5669.308124,5863.466892
"FT15480",1763.809388,1290.474181,437.8237572,3247.148825,670.9138669,805.1510546,1369.569576,3763.195395,2090.036143,5053.141786,2290.771769
"FT15481",75235.45796,55161.2269,49997.70727,82424.20787,87827.74539,65988.87507,91378.23926,69664.83248,42415.84924,126085.9571,112591.0203
"FT15482",50830.73055,52917.24002,50892.36724,79398.43302,49893.1091,52994.44326,49711.23868,76451.80984,30776.50654,99900.79752,55955.6086
"FT15483",11610.92457,14316.10325,13925.84391,16138.29577,15235.9136,12297.29986,10509.69463,18841.09916,8926.528364,19792.04275,13690.31624
"FT15484",5676.234862,3771.417512,3558.612672,2220.610309,7390.15464,6606.81847,2961.268965,7001.9484,6833.90044,6471.679608,4859.656127
"FT15485",4172.86361,4560.838809,5840.385864,3934.418009,4130.150372,6207.618652,4738.470541,6064.507459,3575.715546,4899.60469,4522.365631
"FT15486",3424.97829,4126.769954,4463.102523,5284.972479,8926.200396,2919.615276,3407.74667,2965.763091,2855.528299,7246.137484,6763.271859
"FT15487",5789.409,8418.773995,7614.138541,11634.89032,8127.545119,8888.967862,7741.536791,9158.686186,6880.68059,13070.23182,11243.73638
"FT15488",145349.9389,285545.1522,224897.5781,155241.5842,432633.6095,231920.5982,159535.4944,283763.6459,171623.7219,370258.4661,226507.4155
"FT15489",46601.91414,39405.94636,40439.75743,73098.57901,64387.81304,47776.08663,53861.8267,54601.77848,50912.44304,122452.6963,72256.65535
"FT15490",8962.54162,16989.25128,6375.546895,5739.845288,29249.20429,15590.21616,14059.63334,20463.02851,8729.681782,36068.93742,29742.92001
"FT15491",29922.40815,83527.5105,44782.72977,53768.21004,68139.70135,45669.29363,42864.40766,67562.19157,22474.77162,105113.5612,60210.84688
"FT15492",12358.67237,26104.53456,19224.69195,58215.20464,40460.33123,14308.23291,7240.175161,74431.88885,14021.56943,70142.21522,50419.32519
"FT15493",18814.85435,38438.27477,29685.72386,36784.19205,25513.84437,21893.06496,25673.65871,45203.09856,14479.85306,43511.04828,24433.98622
"FT15494",11330.70361,11161.67164,8817.173159,19765.23913,19769.55578,9621.221449,18501.57459,17674.18761,4427.126205,36216.24091,22593.73359
"FT15495",3886.185801,2994.872982,4424.901279,2390.261012,4531.906736,4299.81712,2982.971357,4000.971305,3928.795199,3550.903251,3788.863349
"FT15496",5065.684507,4141.089208,6491.748597,8123.048985,11711.81,5712.513238,3956.193151,5422.446388,4458.035034,10078.60753,12081.76549
"FT15497",37436.99272,18769.25581,19139.12284,118525.6106,24434.74215,21437.82488,24931.54917,60042.48858,22730.28038,156855.2311,29228.28774
"FT15498",11617.57011,16253.61852,12688.04128,30840.41767,29978.3909,13024.07471,9199.160995,32728.69474,11250.06083,33763.94611,36686.91867
"FT15499",1395.065242,2723.246345,1060.037915,2687.942046,2787.299793,3082.595327,2171.77029,4905.345051,1727.931038,5766.00644,3177.595262
"FT15500",9822.001449,6564.792216,6400.221553,17408.14135,12191.59302,9112.203017,12689.6823,15912.96115,4263.526075,30582.85127,21221.78525
"FT15501",5683.948344,7898.447959,5088.855743,3816.474058,7383.597496,5243.052915,6764.537774,5217.324969,6669.644952,5257.989645,6323.769781
"FT15502",497.6200762,1508.186762,2019.193755,2890.417284,2948.530419,1484.466051,1236.03967,2234.943462,1077.839634,2181.023971,3071.902293
"FT15503",2658.657005,1495.187145,2063.058263,1215.402999,3080.413838,2649.234144,1865.366418,2404.356324,2896.193928,2014.407826,2486.586083
"FT15504",24847.02158,26749.11284,26830.36786,34193.52792,28880.89021,24214.68239,25280.37901,24403.4254,31126.04024,26215.03843,31210.72543
"FT15505",NA,1857.324873,1525.810978,4362.092101,4364.671484,3322.040743,2228.206833,8902.668667,1617.799018,6161.084284,4420.040261
"FT15506",4550.02287,4354.51355,6443.746035,7496.29528,11040.85372,5453.133906,3557.826528,5945.649424,3961.55827,11056.00409,8951.894793
"FT15507",37519.0851,21843.24351,32058.236,42833.28042,34652.07703,20638.9198,29354.08263,34621.4933,10579.53519,27385.95149,19240.63338
"FT15508",1417.661235,4630.514048,1770.732483,2964.479751,11893.05069,3714.950857,5681.599221,902.0439209,717.1083564,4669.590038,17835.48916
"FT15509",233694.1037,321415.5457,319591.9582,298664.1642,269911.3089,250876.2938,209520.3052,431584.5227,179218.4256,523228.5052,255086.4254
"FT15510",49297.67097,90784.16831,71968.00894,54762.64001,179333.465,67556.996,49482.4957,89011.02499,41555.33474,111243.3582,74995.92153
"FT15511",60727.22235,99594.52857,61602.76852,67971.5244,104415.7565,89806.49924,54539.83227,118638.4346,46499.94145,165494.859,56434.54209
"FT15512",63421.25455,154939.2262,61398.50903,102262.029,93162.57946,37286.38727,59537.16343,135322.9193,33622.68152,202472.55,63755.13367
"FT15513",23725.44981,20279.47122,37075.7539,34741.12486,75350.31522,51203.02026,43078.59727,40518.03749,31732.93029,58068.7356,54481.91945
