"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1","mz","rt","isotopes","adduct","mass","zscore"
"3944",12.1054304479735,11.0641208725348,10.459359621949,11.4675160683112,12.4811977787927,12.249950011371,11.2134999200722,10.3525845276047,10.6750665913143,12.2700466810775,13.8920910834589,337.12455885062,756.1611328125,"","[M+Cl]- 302.158","302.158",2.1034230375996
"3967",12.3188919701043,12.2364973379899,12.2742625647321,12.1699926984236,12.6315509114306,12.2815717395994,12.6935115038536,12.5727158842473,12.942927364136,12.7301693716078,10.2800505058054,338.195001779433,763.957153320312,"","","338.195001779433",-2.82449275400327
"4108",16.8814365520343,16.6025653558084,17.1175021915541,16.1762021472093,16.478013778988,16.9008255237997,16.7774641107071,15.9176652478533,15.3831740847777,17.1054422273683,14.2193650210268,347.145422474181,849.635192871094,"[504][M]-","[M+Cl]- 312.182","312.182",-2.39920377618535
"4119",13.8548506141145,13.7994596387795,13.9945831738022,13.5560861803063,12.500287697011,13.0337286771226,13.520618300198,13.41918384478,12.5073472881144,12.6898747982619,9.74022743944673,348.087654779706,733.205383300781,"","","348.087654779706",-2.69513134138623
"4122",12.0283145742176,11.3494189732476,11.8985060728513,10.0775081781216,12.491183375202,11.962025853972,10.4358594454342,11.2926890377943,10.8786332114271,11.1086735327869,14.0223696023516,348.087585669776,756.036268310557,"","[M+Cl]- 313.121","313.121",2.24816231294018
"4140",16.529739348593,16.773717704125,16.2610199581456,17.3544326552384,16.7128105091065,16.6300729214024,16.6542642060533,17.7416606884944,16.5500493491601,17.3479456248497,15.4088320180486,349.235827253132,990.179962158203,"[510][M]-","[M+Cl]- 314.266 [M-H]- 350.243","314.266;350.243",-2.11947710827835
"4159",12.1645452474087,12.3369874645501,12.5043202997938,12.6830125271406,12.935752002488,13.2316671049766,12.6252508381361,12.1282989983831,12.3654728542951,12.623476967063,14.0062744490001,350.126076236352,912.28515625,"","","350.126076236352",2.42050849028867
"4182",12.4504186580733,12.3420807035644,12.6993164129689,12.9032221887609,12.6099788084608,12.2628738004142,12.6250362835146,12.6074844840575,12.6784770176805,11.6661895674443,11.4569418337119,351.216566094623,808.864440917969,"","[2M+Cl]- 158.13","158.13",-2.08371633187591
"4194",13.1264971859354,13.2518345940102,13.5070978632929,13.128618970127,13.4130070883936,13.4040182745596,13.6292651353555,13.2634846866267,13.7685492369347,13.6492677763454,12.3260973925835,352.210412660619,802.896545410156,"","","352.210412660619",-2.53256044881228
"4225",14.4485399942305,13.7377406155928,15.2103196800831,14.6451456345878,14.7784184319497,15.6680485331665,14.8285735513702,14.5459087243459,13.5965827625805,13.4979543862211,16.7803831564761,354.203333226749,964.656433105469,"","[M-H]- 355.206 [M-H-COCH2]- 397.215 [M-H-C3H2O3]- 441.214","355.206;397.215;441.214",2.16227677670686
"4284",15.6582794784705,15.7977076929718,14.1974947913096,15.4663399654715,14.9382291898685,15.2138795896066,15.4834968076858,15.8967253128822,14.8150633054273,15.3724595773618,13.7249967501659,359.145209583344,861.900390625,"","","359.145209583344",-2.09084312855526
"4326",14.9117414182782,13.3008521578712,14.9971604260405,15.6470707978992,15.0196933812303,14.2269992317239,12.5755199941372,14.6821096731202,14.6378015382309,13.5858107336791,11.5646803825514,362.030771492249,289.744079589844,"","[M-H-C4H8]- 419.094","419.094",-2.07361226300485
"4345",9.190419881039,9.00376301220878,6.61938575527684,8.42532300754268,6.63782997256075,8.28604508603989,11.7230953637229,7.47146045113315,7.59199795051276,8.68290458686631,14.2336763625619,363.103543490324,632.516235351562,"","","363.103543490324",2.35779425192013
"4417",11.8587026851723,10.9896044681151,12.144165764786,11.1902718818905,12.61527430858,12.260583202177,11.6601013278244,11.3003685119196,10.4955607523047,12.096085297684,13.697450878308,367.123084049038,756.036254882812,"[554][M]-","[M-H-CH4]- 384.162","384.162",2.11485687550133
"4425",15.3806065768852,15.7016063580184,15.8582867101514,15.7086044314477,15.4566977980616,15.7105149646188,16.0113033237604,15.7453313214665,16.1649392411318,16.3811205529861,14.4249962422154,367.212404569883,750.48828125,"","","367.212404569883",-2.47795702942211
"4426",14.7718830674708,14.8473351508786,14.5447998962903,14.5300413174265,14.645945434186,14.5038839195874,14.8147973585481,14.8727472734067,14.8413144941194,14.7752188774651,14.2123937599497,367.212233403089,835.382141113281,"[556][M]-","","367.212233403089",-2.23620851860848
"4427",15.3852913165461,15.324570075236,15.2335310271041,14.9108308598752,13.8179692047054,15.0499503891815,15.7324526685145,15.5016870163462,14.1481371544315,14.7174126514376,9.68023166571556,367.209975313488,928.856994628906,"[557][M]-","","367.209975313488",-2.83714998626551
"4445",13.2550021505833,13.4684843885809,13.5438715585365,13.3354127652666,13.1313526323088,13.509303951917,13.2959580213541,13.5442622987841,13.8738441072343,14.2272602233401,11.698927434759,368.21597737751,750.344116210938,"","","368.21597737751",-2.63370458899143
"4526",9.63075880298695,9.48328946169074,6.96365813148259,9.52733487649551,9.00576362529418,9.52305652180015,8.85249535554045,10.1818291541685,9.76283888497666,9.21390600677877,11.9483205342521,373.0505845732,445.567016601562,"","","373.0505845732",2.12253723438964
"4605",13.0154402954003,12.9428009366644,12.9773222034198,13.1564083624523,12.9220808586656,12.996423163506,13.1989989456387,13.0598799821434,13.6473727009295,13.2463361282362,12.247089868597,378.150677829005,604.674,"","","378.150677829005",-2.37272623038249
"4620",7.25161938151499,8.87992100865428,6.28053009470844,8.27020164022384,8.50756920473351,8.78968961248405,9.02052675796708,6.41733697471984,6.55820859563324,7.74157586965229,11.2224333115745,379.082034020043,643.123229980469,"","[M-2H+Na]- 358.108","358.108",2.15243910992774
"4623",16.7586196825643,16.9305122032539,16.4931514419199,17.1923827713808,16.7572507757722,16.7657469905997,16.8056492944508,17.1534436721995,16.7388715082154,16.9783714652129,16.2472343577818,379.251865185624,998.135009765625,"[590][M]-","","379.251865185624",-2.04479907028966
"4628",13.1647087677873,12.9492016788061,13.2840364184037,12.9405552423002,12.9715388560096,12.8990486934384,13.3621063535084,13.1123561459752,13.3575415953524,13.1415232674661,13.6080450851503,379.197206747581,1152.10607910156,"","","379.197206747581",2.00178521023399
"4716",14.5489634764753,14.5329290105015,14.5311773398685,15.0245586582768,12.9683954799341,14.3875471549659,14.6643027324669,14.8656143595151,13.5816515536564,13.5750814226053,7.65807714100153,383.168863532694,791.628570556641,"","","383.168863532694",-2.87520917275194
"4744",11.8293527536945,11.9711338243918,11.935916023145,11.4304541545536,11.5038444738469,11.90651058711,11.8392929140893,11.7548083020661,13.1350820424962,12.1990581257564,10.5508479238179,385.047246191557,95.1959037780762,"","[M-H]- 386.062","386.062",-2.06856994013018
"4778",21.897032324601,21.7303578577079,22.0996095762055,21.8952254813136,21.631675071613,21.7046697422444,21.9177284689163,21.7310251221674,22.377552801216,21.7417378997227,24.0620310438351,387.026187459161,1075.69997558593,"[619][M]-","","387.026187459161",2.86955112537146
"4883",8.26210880029885,8.32733334376531,7.84187747055419,8.97364441584406,10.3909404163017,10.3309500986564,9.13853811258794,8.51641803789548,8.90782623694278,9.87236545243516,12.4655392391863,392.091128084882,756.1611328125,"","[M+Cl]- 357.115","357.115",2.33606559147116
