"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT00058",14.4840299252676,14.5922694647918,15.0536072629295,14.9194864879173,15.0971998762258,15.186940126737,15.5801724952986,14.9776939590655,15.5418762920443,15.0818048962488,15.0246845435896
"FT00059",13.8195222111602,14.2222856238859,14.3366371872544,14.4698302277252,14.2271430666939,14.6723816527118,14.8450260660878,14.2339438258399,14.7987234660484,14.2754881288222,14.4584645999269
"FT00060",13.8653725626333,14.1361486256398,14.0798088604661,14.1273062595587,13.786485460248,14.3870607703762,14.7527485548264,13.5733622649555,14.3356145454269,13.8657628193172,14.3411518838084
"FT00061",13.9954244868943,13.1508396070958,14.0874709323534,13.704255456652,14.4060811264716,14.9815306682356,14.7463505049641,14.2130107095843,14.7034557641302,14.4421407877131,15.2097031182042
"FT00062",16.0159319995336,16.3431664943099,16.4777162859746,16.4541793062817,16.3763255201572,16.6689101320693,16.8303532487329,15.9987393216229,16.6951343539152,16.2313138351849,16.291227057454
"FT00063",14.0822740647931,14.2214045110654,14.4645061452334,14.5883821315922,14.2419866402735,14.5070227299858,14.7988056499775,14.1053008343347,14.9365503206809,14.4248447871929,14.4892732265845
"FT00064",14.5615223944921,14.6226660836032,14.6406515945,14.855651177617,14.7937539832881,15.1028080854328,15.4225923827778,14.7128986539575,15.3097994773632,14.9706695040632,14.7873589850888
"FT00065",15.1699283999745,14.7457258351517,15.4491339516503,15.4914540198054,15.8632937451128,15.3433603612838,15.9557760844792,15.4328932042894,15.2832582103066,15.3690917030684,17.351229934246
"FT00066",10.4329964144757,10.4670503388361,9.43640552426666,9.02889308959481,12.8428865609182,14.22272484293,10.4508846208273,14.0511747300421,10.3522104961021,12.3802666961898,14.1803818504049
"FT00067",13.3359705724125,12.5932453387961,10.1290314160425,13.5701341473448,10.9729105781099,11.4349722964748,11.2385646498637,10.2541498851821,12.1222553926264,12.334019824493,15.2158107422349
