"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT02774",39253.0091,36012.73835,41600.99775,30404.18384,33208.69958,33358.4005,24590.2377,39616.42935,39500.49348,38820.66115,43743.82857
"FT02775",8425.026854,12165.3872,6197.416802,10538.93995,8946.082867,16176.14144,29276.1079,20979.77137,4105.233054,14316.28392,16707.25384
"FT02776",2723.895562,1541.97129,957.9089718,649.1700738,5844.89256,1458.800112,2186.895481,2815.96711,1559.621736,2686.862722,3669.517665
"FT02777",198.2009736,153.876765,NA,386.5593002,NA,NA,331.6960359,NA,NA,217.6167906,6855.372529
"FT02778",29637.40791,8298.127717,103423.978,19852.34393,8997.342018,33503.56941,71407.75819,8580.858242,12602.84863,14921.06806,6040.81937
"FT02779",1519735.511,1095912.209,965477.302,230240.2347,690203.866,1298595.015,2869010.563,655384.9441,4379445.909,138646.1103,1436222.034
"FT02780",4170.229958,2187.595035,3570.26455,118.1475503,875.4784759,37631.15615,54530.68029,4408.08698,61444.67575,11640.26625,31512.2142
"FT02781",99575.83436,123688.611,130130.6497,26536.94929,76073.25748,97439.75596,27625.54685,14991.13996,75083.43909,41224.08791,102657.3474
"FT02782",13607.273,12805.86232,31516.47678,14404.00537,15624.73939,23403.58945,57651.87102,8286.974432,41637.57351,8003.502105,16905.9042
"FT02783",27779.0296,15218.53143,36246.75489,16884.26077,28255.98171,34862.36677,54385.50231,28773.52537,67649.78404,30303.06972,16097.6561
"FT02784",19758.70046,73437.66945,39112.31179,21661.01264,22767.55827,25126.7453,47559.96792,2009.50287,40821.21165,12756.94033,51524.80536
"FT02785",17710.552,11838.46123,13656.803,9158.388175,15105.86746,15632.76193,6175.072462,22187.33523,6537.680378,18026.28808,16015.27765
"FT02786",2497.508142,1396.111969,3857.168837,879.5142736,834.3113151,1476.443237,3302.505769,8940.409125,1546.014384,3962.585762,6114.333544
"FT02787",799.1981975,8880.378108,46647.3919,10975.03924,NA,14160.05967,11455.88747,1909.5874,NA,88542.76558,76280.02595
"FT02788",7245.239783,6825.799188,18624.3832,5891.603598,7369.500787,18324.04446,15233.39368,6892.566412,27157.22207,9976.760466,7225.952142
"FT02789",1687.962774,451.5234355,3969.52943,341.1115351,1682.93874,7562.503531,10814.74435,1120.352891,9027.833908,4966.657252,4904.514713
"FT02790",NA,NA,NA,NA,218.8394264,3908.429262,NA,3651.93618,712.3080616,145.9760586,2898.979493
"FT02791",2673.814107,6379.655374,Inf,6685.581961,6199.321225,6847.234106,4264.846374,1125.849929,4082.935833,2771.542652,4790.454379
"FT02792",NA,NA,NA,331.7258562,420.3398583,NA,129.5696683,564.5846617,161.6128717,639.5808281,3601.14658
"FT02793",NA,NA,NA,NA,NA,NA,NA,NA,NA,1001.955182,127410.6446
"FT02794",324.6152243,6361.453027,738.3296629,410.3465611,374.3028373,1742.951764,2419.555076,1205.115825,1137.971508,1399.90207,20539.56461
"FT02795",2224.076758,2930.245191,1494.047182,181.0099786,2734.469244,3873.818617,4801.054928,3855.144045,3296.918031,1455.08322,2558.789575
"FT02796",7373.043154,2063.681006,95306.41054,8808.160611,6064.157671,28184.45297,1182.292507,17179.30277,11774.5256,52348.53082,34017.7862
"FT02797",4207.935527,2161.69355,6962.491505,1486.45799,8797.217616,22642.62145,11574.15895,25734.59,942.7403233,8600.627503,11696.71372
"FT02798",68268.32463,73685.69196,71193.07627,70170.89591,77255.90094,56742.70316,14582.14886,56081.674,48624.0537,55345.76065,55860.13692
"FT02799",193081.4597,170347.3618,211949.052,284789.9544,357937.6424,142446.4458,135426.6618,164203.4627,120354.1019,167727.0939,150281.3892
"FT02800",128090.766,122339.0583,988545.9481,134223.6791,895090.9506,184462.7822,91063.16919,89356.36389,72152.07319,210370.3888,107470.0732
"FT02801",245599.2758,232117.6865,192753.1336,407185.9408,193343.3502,128141.4063,86448.33137,203070.2043,93027.34997,118852.0522,289323.541
"FT02802",103964.3809,102561.3855,93177.72898,94474.70336,93974.5664,58292.79082,56613.85026,53273.46049,53182.4596,58013.29574,73473.4526
"FT02803",502240.8697,506723.4442,337149.0998,512082.5583,719207.348,222347.0131,273820.5688,239238.2344,368001.9934,319641.352,487209.2119
"FT02804",160037.8953,148643.1252,159881.6347,202921.1908,191526.2618,82773.30729,93027.17641,146906.3122,142797.1571,155567.2676,141830.9167
"FT02805",133273.5778,131375.5582,129707.4445,135380.657,125792.384,99364.58247,78988.37014,97692.07503,82908.02342,155884.3528,102737.3223
"FT02806",100739.3548,97308.74534,96468.14026,98731.2339,89477.43677,58562.13405,57539.16357,68435.95664,46696.39966,60414.64677,57665.66641
"FT02807",628116.4839,672798.4687,387110.0477,817628.6528,404448.878,561825.7423,341816.5442,228020.7686,318548.2937,491130.9235,407346.3929
"FT02808",182960.4076,144967.9789,195321.5508,292111.5676,212850.1822,111460.4658,116261.1537,160457.8427,75126.2836,168418.1784,170742.6281
"FT02809",136988.0998,164509.7317,148518.9357,171432.6116,145596.0485,93624.28253,108290.9888,111226.122,80226.97107,105931.869,118729.8749
"FT02810",146627.6518,163222.6564,153415.6105,324281.9547,170948.2024,109197.1994,116493.5825,103699.1489,79349.94727,113648.7044,146223.216
"FT02811",101444.6701,176535.3487,94714.4258,56013.99257,89447.41891,51509.39907,53249.07196,45744.24865,50417.40377,47138.10196,50140.00627
"FT02812",153682.7784,241807.9435,144864.7674,165140.2977,152290.6733,100164.3475,102045.6486,94799.57683,90864.37307,82716.11916,103613.2651
"FT02813",187474.7309,131984.0881,167862.8511,132494.2332,188523.0828,102348.231,80447.14752,80128.48055,48307.75076,62143.32861,134029.6798
