"","x"
"1080",0
"1081",1
"1082",3
"1083",1
"1084",8
"1085",2
"1086",1
"1087",0
"1088",0
"1089",0
"1090",1
"1091",2
"1092",0
"1093",2
"1094",0
"1095",0
"1096",0
"1097",3
"1098",0
"1099",12
"1100",1
"1101",0
"1102",1
"1103",0
"1104",0
"1105",1
"1106",0
"1107",0
"1108",8
"1109",0
"1110",2
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",18
"1119",0
"1120",1
"1121",8
"1122",0
"1123",0
"1124",4
"1125",2
"1126",0
"1127",2
"1128",2
"1129",0
"1130",23
"1131",0
"1132",1
"1133",11
"1134",7
"1135",0
"1136",1
"1137",0
"1138",0
"1139",0
"1140",2
"1141",1
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",0
"1149",28
"1150",0
"1151",0
"1152",0
"1153",0
"1154",14
"1155",0
"1156",1
"1157",2
"1158",1
"1159",10
"1160",0
"1161",2
"1162",0
"1163",7
"1164",0
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",18
"1171",1
"1172",1
"1173",0
"1174",5
"1175",1
"1176",0
"1177",1
"1178",0
"1179",0
"1180",1
"1181",1
"1182",1
"1183",1
"1184",0
"1185",0
"1186",0
"1187",2
"1188",0
"1189",0
"1190",2
"1191",2
"1192",0
"1193",0
"1194",2
"1195",4
"1196",10
"1197",0
"1198",0
"1199",1
"1200",0
"1201",0
"1202",0
"1203",9
"1204",3
"1205",7
"1206",0
"1207",0
"1208",0
"1209",3
"1210",3
"1211",0
"1212",1
"1213",41
"1214",2
"1215",0
"1216",0
"1217",8
"1218",1
"1219",9
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",2
"1227",3
"1228",0
"1229",0
"1230",0
"1231",0
"1232",0
"1233",0
"1234",0
"1235",0
"1236",0
"1237",0
"1238",0
"1239",0
"1240",0
"1241",5
"1242",5
"1243",0
"1244",2
"1245",1
"1246",0
"1247",3
"1248",4
"1249",0
"1250",2
"1251",4
"1252",0
"1253",0
"1254",0
"1255",0
"1256",0
"1257",0
"1258",2
"1259",0
"1260",1
"1261",8
"1262",0
"1263",0
"1264",9
"1265",0
"1266",4
"1267",3
"1268",1
"1269",3
"1270",1
"1271",0
"1272",0
"1273",0
"1274",0
"1275",0
"1276",0
"1277",1
"1278",0
"1279",2
"1280",0
"1281",3
"1282",2
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",0
"1292",0
"1293",1
"1294",0
"1295",1
"1296",0
"1297",0
"1298",2
"1299",9
"1300",6
"1301",2
"1302",0
"1303",0
"1304",0
"1305",0
"1306",0
"1307",0
"1308",2
"1309",12
"1310",12
"1311",3
"1312",25
"1313",0
"1314",2
"1315",0
"1316",5
"1317",2
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",1
"1331",0
"1332",7
